iter	RMSE
0	0.3519056506
1	0.3469535543
2	0.3410622772
3	0.3366409532
4	0.3323473603
5	0.3274996252
6	0.3234902564
7	0.3196551152
8	0.3155603831
9	0.3114558793
10	0.3077961734
11	0.3043441066
12	0.3004545824
13	0.2968304554
14	0.2932027359
15	0.2903635138
16	0.286835453
17	0.2840467009
18	0.2817731366
19	0.278921166
20	0.2762984465
21	0.2735677286
22	0.2716049084
23	0.2694111443
24	0.2669293551
25	0.2650405944
26	0.2632819094
27	0.2614053295
28	0.2593317786
29	0.2577993892
30	0.2559815873
31	0.2539789121
32	0.2522147873
33	0.250361335
34	0.2481818958
35	0.2465487598
36	0.2448433909
37	0.243803179
38	0.2426482459
39	0.2414004138
40	0.2395575049
41	0.2377539941
42	0.2365085052
43	0.2354184174
44	0.2343319644
45	0.2334249012
46	0.2322123513
47	0.2307413304
48	0.2292576222
49	0.2281526625
50	0.2272043424
51	0.2258723907
52	0.2244934081
53	0.2237253514
54	0.2226013906
55	0.2214856699
56	0.2206587314
57	0.2200184897
58	0.2190128438
59	0.2183112214
60	0.2175395047
61	0.2168321145
62	0.2157066175
63	0.2151907562
64	0.2144489764
65	0.2136452413
66	0.2126760675
67	0.2118180817
68	0.2112344404
69	0.2104899785
70	0.2099372278
71	0.2089616037
72	0.2082188474
73	0.207152569
74	0.2065066585
75	0.2055547047
76	0.2049875186
77	0.2043177005
78	0.2037968377
79	0.2032428549
80	0.2025885605
81	0.2018445276
82	0.2011905331
83	0.2004942596
84	0.1998520645
85	0.1992196511
86	0.198106282
87	0.1974091605
88	0.1968292373
89	0.1956918992
90	0.1954279307
91	0.1949812058
92	0.1946521567
93	0.1943983814
94	0.1941500729
95	0.1937306021
96	0.1931452307
97	0.1928241365
98	0.192284296
99	0.1918842866
100	0.1917104958
101	0.1914619048
102	0.1911374395
103	0.1909244926
104	0.1906321805
105	0.1895987772
106	0.189372368
107	0.1890952088
108	0.1886416292
109	0.1884007273
110	0.18792169
111	0.1877011033
112	0.1872892902
113	0.1872126431
114	0.1868229836
115	0.1867166542
116	0.1865978445
117	0.1860555923
118	0.1855091678
119	0.1852972565
120	0.1849447278
121	0.1845410016
122	0.1840224648
123	0.1838732514
124	0.1836568028
125	0.1834761034
126	0.1831322477
127	0.1830119534
128	0.1824239964
129	0.1822512229
130	0.1813229895
131	0.1810491397
132	0.180926692
133	0.1803169497
134	0.180177985
135	0.1801061754
136	0.1795851409
137	0.179483067
138	0.1793269636
139	0.1790246008
140	0.1786589886
141	0.1785525466
142	0.1784401019
143	0.1782065996
144	0.1781048502
145	0.177755755
146	0.177249813
147	0.1768622085
148	0.1767774023
149	0.1765738356
150	0.1764772163
151	0.1758229584
152	0.17572289
153	0.1751161207
154	0.1748978537
155	0.1747736417
156	0.1740861288
157	0.1736141977
158	0.1728903979
159	0.1727588091
160	0.1723744939
161	0.1717613511
162	0.1716772714
163	0.1715765715
164	0.1714498553
165	0.1713197813
166	0.1712411872
167	0.1711132485
168	0.1706847467
169	0.1702895635
170	0.1702048458
171	0.1698854483
172	0.1692785717
173	0.1691999889
174	0.1691173043
175	0.1686223258
176	0.1685336778
177	0.1681378299
178	0.1680199097
179	0.1672558468
180	0.1664480467
181	0.1660661552
182	0.1655405274
183	0.1654578493
184	0.1649184599
185	0.1643856088
186	0.163414574
187	0.1633127004
188	0.1629498408
189	0.1625597902
190	0.1624821048
191	0.1619745487
192	0.1619004814
193	0.1617082166
194	0.1610239368
195	0.1603933323
196	0.160322424
197	0.1599415129
198	0.1598681879
199	0.1597993011
200	0.1592879683
201	0.1586377574
202	0.1579649907
203	0.1577472917
204	0.1571214896
205	0.1567631244
206	0.1566962017
207	0.1558901072
208	0.1558216897
209	0.1557560881
210	0.1556738631
211	0.1551545972
212	0.155027814
213	0.1545394791
214	0.1542302287
215	0.1541696901
216	0.1541106755
217	0.1535968442
218	0.1530124504
219	0.1524456513
220	0.1521548072
221	0.1520523592
222	0.1514505651
223	0.1509588858
224	0.1504216063
225	0.1503259734
226	0.1500530919
227	0.1499934065
228	0.1499385245
229	0.1496218128
230	0.1490923309
231	0.1483960049
232	0.1478363239
233	0.1477173054
234	0.146927068
235	0.1462042588
236	0.1458480259
237	0.145644399
238	0.1451426013
239	0.1444246537
240	0.1442536235
241	0.1439193978
242	0.1436770694
243	0.1431597988
244	0.143105073
245	0.142673224
246	0.1426225013
247	0.1421626011
248	0.1417045796
249	0.1413693142
250	0.1410406021
251	0.1409889579
252	0.1408680999
253	0.1404643121
254	0.1399320307
255	0.139148043
256	0.1388278382
257	0.1384717108
258	0.1380290045
259	0.1378076998
260	0.1370812769
261	0.1366212882
262	0.1364148728
263	0.1361651052
264	0.1357101202
265	0.1353275652
266	0.1350153873
267	0.1346992381
268	0.1343127722
269	0.1340044682
270	0.1335572626
271	0.1328969211
272	0.1324267649
273	0.1323770183
274	0.1316893217
275	0.1314102323
276	0.1310462863
277	0.1309974509
278	0.1307218054
279	0.1302684557
280	0.1297674848
281	0.129134655
282	0.1288786463
283	0.1288078214
284	0.1282865337
285	0.128237954
286	0.1281918868
287	0.1281432605
288	0.1276674222
289	0.1272902946
290	0.1271266266
291	0.1267652617
292	0.1265722758
293	0.1262635008
294	0.126197027
295	0.1260657736
296	0.1258515856
297	0.1258084791
298	0.1254294795
299	0.1251063244
