iter	Passed	Remaining
0	3	1544
1	6	1551
2	9	1560
3	12	1552
4	15	1573
5	19	1605
6	22	1573
7	25	1585
8	28	1575
9	31	1567
10	35	1570
11	38	1572
12	42	1575
13	45	1569
14	48	1565
15	51	1559
16	55	1565
17	58	1561
18	61	1561
19	65	1563
20	68	1555
21	71	1558
22	75	1556
23	78	1553
24	81	1551
25	84	1545
26	88	1542
27	90	1517
28	93	1513
29	96	1511
30	99	1508
31	103	1507
32	106	1502
33	109	1499
34	112	1498
35	114	1470
36	117	1466
37	120	1463
38	123	1460
39	125	1444
40	128	1443
41	132	1444
42	135	1441
43	136	1417
44	139	1413
45	142	1410
46	146	1412
47	147	1388
48	150	1383
49	151	1367
50	155	1366
51	158	1366
52	162	1370
53	166	1372
54	169	1371
55	172	1370
56	176	1373
57	180	1376
58	184	1376
59	187	1375
60	190	1373
61	194	1375
62	198	1376
63	202	1376
64	205	1375
65	209	1378
66	211	1366
67	214	1364
68	218	1362
69	221	1361
70	225	1362
71	229	1363
72	232	1362
73	236	1362
74	240	1361
75	244	1363
76	247	1360
77	251	1359
78	255	1359
79	258	1358
80	262	1358
81	266	1356
82	269	1355
83	273	1355
84	277	1354
85	280	1352
86	285	1354
87	287	1346
88	291	1345
89	295	1344
90	298	1343
91	302	1341
92	306	1340
93	310	1340
94	314	1339
95	317	1336
96	319	1327
97	323	1326
98	327	1325
99	331	1325
100	334	1323
101	338	1322
102	343	1322
103	346	1320
104	350	1316
105	353	1315
106	357	1314
107	361	1313
108	365	1310
109	367	1303
110	371	1302
111	375	1299
112	378	1297
113	382	1294
114	385	1292
115	389	1290
116	393	1288
117	396	1285
118	400	1282
119	404	1282
120	408	1279
121	412	1277
122	415	1274
123	420	1274
124	423	1271
125	427	1269
126	430	1265
127	434	1262
128	438	1260
129	441	1257
130	445	1254
131	448	1251
132	452	1247
133	455	1244
134	459	1241
135	463	1239
136	466	1236
137	470	1233
138	473	1230
139	477	1228
140	481	1225
141	484	1222
142	488	1219
143	492	1216
144	495	1213
145	499	1210
146	502	1206
147	505	1203
148	509	1200
149	513	1198
150	516	1194
151	520	1191
152	524	1188
153	527	1185
154	531	1182
155	534	1179
156	538	1176
157	541	1171
158	544	1168
159	546	1161
160	550	1158
161	553	1155
162	557	1152
163	560	1148
164	564	1145
165	568	1143
166	571	1139
167	574	1135
168	578	1132
169	581	1129
170	585	1126
171	588	1122
172	592	1119
173	595	1115
174	599	1113
175	603	1110
176	606	1106
177	609	1103
178	613	1100
179	616	1096
180	620	1093
181	624	1090
182	627	1087
183	630	1083
184	634	1079
185	637	1076
186	640	1072
187	644	1069
188	648	1066
189	651	1063
190	654	1059
191	658	1056
192	662	1054
193	666	1050
194	669	1047
195	672	1043
196	676	1040
197	679	1036
198	682	1032
199	685	1028
200	689	1025
201	692	1022
202	696	1019
203	700	1015
204	703	1012
205	707	1009
206	710	1006
207	714	1002
208	717	999
209	721	996
210	724	992
211	727	988
212	731	985
213	734	981
214	737	977
215	740	973
216	744	970
217	747	967
218	751	964
219	755	960
220	758	957
221	761	953
222	765	950
223	768	947
224	772	943
225	775	940
226	778	936
227	782	933
228	785	929
229	789	926
230	792	923
231	796	920
232	799	916
233	802	912
234	806	909
235	810	906
236	813	903
237	817	899
238	820	896
239	824	893
240	827	889
241	831	886
242	834	883
243	838	879
244	841	876
245	844	872
246	847	868
247	851	864
248	854	861
249	857	857
250	860	853
251	863	849
252	866	845
253	869	842
254	873	838
255	876	835
256	879	831
257	882	827
258	885	824
259	889	820
260	892	817
261	895	813
262	898	809
263	901	805
264	904	802
265	907	798
266	911	795
267	913	791
268	916	787
269	919	783
270	923	780
271	926	776
272	928	772
273	932	768
274	935	765
275	938	761
276	941	757
277	944	754
278	947	750
279	950	747
280	954	743
281	956	739
282	959	735
283	962	732
284	965	728
285	969	725
