job_id,job_title,company,industry,location,experience,education,salary,tags,update_date,job_description,job_categories,management_responsibility,work_shift,remote_work,BT_EXP,languages,tools,work_skills,other_conditions,update_date_clean,unique_key
8qge7,【風控策略專員】 Risk Strategy Analyst,智鈦星平台服務有限公司,數位內容產業,台北市信義區,1年以上,專科,待遇面議,"外商公司, 距捷運松山站約190公尺, 節日獎金/禮品, 津貼/補助, 優於勞基法特休",,"風控策略專員將被委派至平台內不同業務線，負責數據活動與風險營運管理工作，以確保數據活動安全、數字資產穩定與服務流程高效。 業務涵蓋現有數據服務、合約服務、資產槓桿、存取管理、對等交換、資產借貸、API 服務、跟單資產管理等多元場景。

【工作內容】
- 監控並執行現有數據服務、合約服務、資產槓桿等數據活動的日常風險控制操作。
- 追蹤用戶存取與資產出入狀態，協調技術團隊與對沖服務商進行風險應對。
- 支援平台營運服務：對等交換、意見領袖計畫 (KOL)、資產借貸、API 服務、跟單資產管理等。
- 根據風險控管政策與異常事件日誌，編制每日、週報與月度監控報告。
- 分析數據活動與風險數據，提出流程優化與自動化建議。
- 協助新服務上架與業務接入測試，確保數據活動與系統穩定。
- 跨部門協作（產品 / 技術 / 客服 / 結算 / 法務），共同處理風險事件與異常狀況。","風險管理人員, 數據分析師／資料分析師, 資料工程師",不需負擔管理責任,日班/晚班/大夜班/假日班，早0730-1530；午1530-2330；夜2330-0730，需輪班,未知,無需出差外派,英文,"Python, MySQL",不拘,"【必備條件】
- 具備數字資產或金融數據活動相關工作經驗（CEX / Brokerage / Risk Operations）。
- 熟練使用 Excel / SQL / Python 進行數據分析與報表製作。
- 對數據活動與風險控制流程具實際操作理解（資產開設、保證金、槓桿、清算機制等）。
- 能接受 7x24 輪班制，對市場事件保持高度敏感。
- 具備良好溝通能力與事件應變能力。

【加分條件】
- 有大型資訊服務平台後台或風險控制操作經驗者佳。
- 具備 API 操作基礎（了解 REST / WebSocket）。
- 有 Python 自動化報表、警報監控腳本開發經驗。
- 熟悉 SQL 數據查詢與處理。
- 具中、英文溝通能力，可支援跨區業務。",CRAWL_2025-11-15,8qge7|CRAWL_2025-11-15
8bjkr,機器學習工程師,瑞艾科技股份有限公司,數位內容產業,台中市西區,經歷不拘,學歷不拘,"月薪30,000~60,000元","年終獎金, 節日獎金/禮品, 免費下午茶",11/15,"設計、訓練及優化機器學習模型以解決業務問題。
進行資料清洗、處理和標記，確保模型訓練使用的數據質量和準確性。
部署模型到生產環境中，並監控模型效能，定期進行更新和維護。
與數據工程師和軟件開發團隊協作，確保機器學習解決方案的整合和實施效率。
程式語言： Python
機器學習框架： PyTorch
資料處理工具： Pandas, NumPy, SQL
版本控制： Git","資料科學家, 演算法工程師, 資料工程師",不需負擔管理責任,日班,未知,無需出差外派,不拘,"Git, Python",不拘,無,2025-11-15,8bjkr|2025-11-15
8om89,"Analyst, Data Science",台灣尼爾森愛科股份有限公司,工商顧問服務業,台北市松山區,經歷不拘,大學,待遇面議,"外商公司, 遠端工作, 距捷運南京三民站約50公尺, 節日獎金/禮品, 津貼/補助",11/15,"As the world's largest research organization, NIQ is powered by talented creative scientists. Our Data Scientist Business Leaders come from diverse disciplines such as statistics, research methodology, mathematics, psychology, business, engineering, physics and demography. These professionals drive innovation, new product ideation, develops complex analysis and delivery of data insights to measure what consumers buy.

Responsibilities
- Own Data Science solutions for client requests and provide initial recommendations for complex client raised issues. 
- Support Internal and External Clients with the understanding of Data Science design and methodology.
- Accompanied senior leaders meet with clients to understand business needs and help offer innovative solutions.
- Work on creating new solutions use cases, proof of concept and prototypes by exploring diverse data sets using tools such as Python.
- Understand Nielsen products and services to suggest new solutions for client challenges.
- Collaborate with other Data Science team units.
Automate and develop solutions for existing processes.
Innovate and create out of the box solutions by leveraging large and diverse data sets and state of the art technologies.",資料科學家,不需負擔管理責任,日班,部分遠端,無需出差外派,英文,--,不拘,"You've dabbled in data. You've perused Python. And you have the communication chops to translate it all into conversation or presentations. While you've worked with global cross-functional teams, you can also put your head down and focus on independent projects. Seeing the big picture takes attention to detail. You know what's happening in big data and you're ready to influence what's next.

- Bachelors degree in business management, economics, statistics, or a related field
- Intermediate levels proficiency with Python
- Implementation experiences on automation of processes
- Problem-Solving skills
- Ability to effectively convey complex concepts to non-experts
- Intellectual curiosity and persistence to find answers to questions
- Eager to continuously learn and adapt to changing technologies and tools.
- Good command of written and spoken Mandarin & English.
- Good collaborative and interpersonal skills to communicate at all levels.
- Working knowledge with collaboration tools such as Microsoft Office (Word, Outlook, PowerPoint, Excel, Power BI).

Good to Have
- Knowledge of Machine Learning /Web scrapping
- Working knowledge with data visualization tools (e.g., PowerBi) and mapping tools.
- Up to date with technology and active user of eCommerce platforms
- Familiarity with Atlassian, Git, Bitbucket and Confluence
- Familiarity with marketing analytics, including designing experiments and consumer behavior analysis.",2025-11-15,8om89|2025-11-15
5wvxj,AI與數據運用工程師,眾匯智能健康股份有限公司,其他醫療保健服務業,台北市南港區,經歷不拘,大學,待遇面議,"距捷運南港軟體園區站約280公尺, 年終獎金, 分紅配股, 免費下午茶, 部門聚餐",11/15,"醫療保健產業是台灣的另一座護國神山，而「智慧醫療」是其中最新興之領域，歡迎有志於探索「智慧醫療」創新模式發展之夥伴，加入我們的團隊!

1.健康數據庫之清理、彙整及運用管理
2.運用生成式AI技術開發個人化健康管理服務運用
3.支援營運團隊各種AI專案開發運用
4.協助管理階層決策所需數據分析運用
5.其他AI或數據技術創新服務開發","演算法工程師, AI工程師, 數據分析師／資料分析師",不需負擔管理責任,日班,未知,無需出差外派,不拘,"Python, R, Excel, SPSS","軟體程式設計, AI, 演算法設計",,2025-11-15,5wvxj|2025-11-15
8vkgs,電腦視覺影像辨識工程師,阿米巴科技股份有限公司,電腦軟體服務業,新北市土城區,經歷不拘,大學,待遇面議,"年終獎金, 節日獎金/禮品, 分紅配股, 免費下午茶, 團體保險",11/15,針對 智慧停車 / 智慧門禁 / 機器人 / 自走車 等領域 開發電腦視覺相關算法,"軟體工程師, 軟體專案主管, 演算法工程師",不需負擔管理責任,日班，8:00~17:00,未知,無需出差外派,不拘,"Linux, C++, Python, TCP/IP, PyTorch, OpenCV","軟體程式設計, 電腦視覺, 影像辨識","基本技能：

1. 熟悉 Python / C++ / OpenCV / PyTorch / Linux 等基礎開發環境
2. 具備 影像處理、物件偵測、追蹤與分類 等相關實作經驗
3. 能夠撰寫乾淨、模組化、可維護的程式碼，並熟悉 Git 版本控制
4. 熟悉模型訓練與部署流程（資料前處理、訓練、驗證、推論、量化）
5. 具備良好的問題分析與 Debug 能力，能獨立執行實驗與優化

⚙️ 具以下經驗尤佳：

6. 熟悉 Nvidia Jetson  / Rockchip RKNN 等邊緣端 AI 平台部署與硬體加速
7. 使用 GStreamer / WebRTC 進行即時串流影像處理、視訊封包傳輸或低延遲顯示的經驗
8. 具備 多視角融合 / BEV / 3D Reconstruction / 360 鏡頭 等相關研究或開發經驗
9. 有 YOLO / OmDet / ViT 等 視覺 / 視覺語意模型訓練、微調或部署經驗
10. 若有 Omniverse / Unreal / Unity / Blender 等數位孿生或合成資料生成經驗尤佳",2025-11-15,8vkgs|2025-11-15
8uafq,Founding 軟體工程師 Founding Software Engineer,泥碼科技股份有限公司,電腦軟體服務業,新竹縣竹北市,1年以上,碩士,"月薪80,000~170,000元","遠端工作, 年終獎金, 分紅配股, 優於勞基法特休, 不扣薪病/事假",11/15,"【Job Description】
-------------------------------
• You'll play a pivotal role in building our core systems—designing, delivering, and scaling everything from LLM-powered pipelines to cloud infrastructure and data flows. 
• Cloud Platform: Build and manage IaC with Terraform; plan service deployments (containers / serverless), scaling and rollbacks, secrets/key management; establish monitoring, alerting, logging, cost management, and disaster recovery. 
• DevOps: Establish layered cloud environments (dev/stg/prod); build and maintain CI/CD (e.g., GitHub Actions); drive firmware automation workflows (HIL), etc. 
• Backend Infrastructure: Build Streaming APIs / WebSocket / WebRTC, event bus, feature flags, rate limiting, and observability (tracing/eval/metrics). 
• LLM Applications: Integrate LLM APIs (OpenAI / Gemini, etc.) and open-source models; design AI architecture, integrate RAG/memory/NLP; optimize caching, concurrency/batching, latency, and token costs. 

【Compensation】
-------------------------------
• Competitive base salary
• Meaningful equity (Delivering significant long-term value as the company scales.)
• Performance-based bonuses
• Year-end bonuses
• Profit sharing

【Important】 The salary shown under ""工作待遇 月薪"" refers to base pay only. Bonuses and equity mentioned above are calculated separately.","軟體工程師, AI工程師, 雲端工程師",不需負擔管理責任,日班,部分遠端，混合上班,無需出差外派,不拘,"Cloud, AWS, Microsoft Azure, MySQL, Shell, Prompt, NLP, LLM, Git","軟體程式設計, 軟體工程系統開發, 系統架構規劃, 資料庫程式設計, 資料庫軟體應用, AI, 人工智慧, 語言模型, 提示工程, 資料庫系統管理維護","Essential 
• Hyper-fast learning ability; quickly masters and applies new technologies; flexible and efficient in handling multiple concurrent tasks. 
• Proficient with at least one major public cloud (AWS/GCP/Azure) and Docker/containerization; capable of managing environments and resources via Terraform/IaC. 
• Hands-on CI/CD and basic testing (unit/integration) experience; proficient with YAML/Shell. 
• Experience implementing LLM APIs; Ability to system prompt architecture/conversational design and integration of RAG/memory/NLP. 
• Proven 0→1 capabilities in delivery process setup, architecture design, and deployments. 

Nice-to-haves
• Experience in startups or small teams bringing systems to production. 
• Experience integrating LLM APIs with RAG/memory/NLP/LangChain. Full-stack development skills are a plus (backend-focused). 
• Mobile app development experience is a plus. 
• Firmware/embedded fundamentals, HIL (Hardware-in-the-Loop) testing experience, and supply-chain security (SBOM, code signing).",2025-11-15,8uafq|2025-11-15
8v1vp,AI工程師,匯潤國際貿易有限公司,電腦軟體服務業,新竹市,經歷不拘,學歷不拘,待遇面議,遠端工作,11/15,"開發和優化AI模型
執行影像處理任務
與團隊合作進行項目開發
可遠端工作",AI工程師,不需負擔管理責任,日班,部分遠端,需出差，一年累積時間約一個月以下,不拘,"Matlab, Linux, Python","AI, 機器學習, 深度學習, 人工智慧","必備技能：
精通 Python 和 MATLAB
基本影像處理能力
加分技能：
熟悉 PyTorch 和 TensorFlow
具備 Docker、Docker Compose 和 Docker Build 的經驗
了解 Linux Server 架設、Nginx 和 LNMP 環境
Python 和 MATLAB
基本影像處理能力",2025-11-15,8v1vp|2025-11-15
8u6lq,LLM 後端工程師 LLM Backend Engineer,泥碼科技股份有限公司,電腦軟體服務業,新竹縣竹北市,1年以上,碩士,"月薪70,000~150,000元","遠端工作, 年終獎金, 分紅配股, 優於勞基法特休, 不扣薪病/事假",11/15,"【Job Description】
------------------------------
• Integrate LLM APIs (OpenAI/Gemini) or self-host open-source models (e.g., Llama/Mistral) on our cloud.
• Design AI architecture and integrate RAG, memory, and NLP techniques.
• Build backend infrastructure such as streaming APIs/WebSocket/WebRTC, event buses, feature flags, rate limiting, and observability (tracing, evaluation, metrics).
• Performance & cost: caching, batch/concurrency control, latency, and token-usage monitoring.

【Compensation】
------------------------------
• Competitive base salary
• Meaningful equity (Delivering significant long-term value as the company scales.)
• Performance-based bonuses
• Year-end bonuses
• Profit sharing

【Important】 The salary shown under ""工作待遇 月薪"" refers to base pay only. Bonuses and equity mentioned above are calculated separately.","後端工程師, AI工程師, 雲端工程師",不需負擔管理責任,日班,部分遠端，混合上班,無需出差外派,不拘,"NLP, Cloud, LLM, AWS, Microsoft Azure, MySQL","語言模型, 自然語言處理, 生成式AI, 提示工程, 資料庫程式設計, 軟體工程系統開發, 系統架構規劃, 軟體程式設計, 資料庫系統管理維護","Essential
• Hyper-fast learning ability; quickly masters and applies new technologies; flexible and efficient in handling multiple concurrent tasks.
• Proficient with backend data stores and database technologies.
• Proficient in at least one major public cloud (AWS/GCP/Azure — any one) and Docker/containerization.
• Hands-on experience implementing LLM APIs.
• Ability to design LLM system prompt architecture and interaction flows.
• Ability to plan AI architectures and deliver them to production.

Nice-to-haves
• Experience shipping in startups or small teams.
• Experience integrating LLM APIs with RAG/memory/NLP and related techniques.
• Experience with LangChain (including LCEL, LangGraph) and related tooling (Chains, Agents, Tools, Memory, RAG).
• Research or personal projects exploring forward-looking tech such as Model Context Protocol (MCP) and Agent-to-Agent (A2A).
• Full-stack development capability is a plus (backend-focused) 
• Experience in mobile app development is a plus.",2025-11-15,8u6lq|2025-11-15
6cpmh,資料庫助理工程師,綠光能數位有限公司,電腦系統整合服務業,台北市中山區,經歷不拘,大學,"月薪34,000~40,000元","遠端工作, 距捷運南京復興站約500公尺, 年終獎金, 節日獎金/禮品, 津貼/補助",11/15,"1.資料庫建置管理及維護
2.應用系統維護、客戶使用疑難諮詢解答、系統安裝測試等相關工作。
3.Linux及Windows 維護
4.對雲端軟體安裝及管理
5.架設各種資料庫高可用度方案
6.負責軟體安裝測試及專案
7.系統程式開發
8.提供教育訓練

綠光能職人魂
https://www.youtube.com/watch?v=gkViFOqCEhY&t=1501s","資料庫管理人員, 全端工程師, 系統工程師",不需負擔管理責任,日班,部分遠端，依客戶需求,無需出差外派,英文,"Java, MS SQL, MySQL","作業系統基本操作, 資料庫系統管理維護, 資料庫程式設計",無,2025-11-15,6cpmh|2025-11-15
8flaz,雲端 / 維運工程師,聚贏有限公司,網際網路相關業,台北市中正區,經歷不拘,大學,"月薪36,000~70,000元","距捷運大安森林公園站約360公尺, 年終獎金, 節日獎金/禮品, 津貼/補助, 分紅配股",11/15,"我們是一支結合 【創意與數據】 的跨域團隊，
專注於 SEO、網站行銷策略、文案企劃與網站分析，並結合軟體工程專業，
為客戶提供量身打造的行銷與技術整合服務。

在開放、扁平、友善的文化中，我們重視專業與品質，也相信數據與創意能改變未來，
誠摯邀請你加入這個一起成長的團隊！
_____________________________________________________________________________________________

<工作內容>

※ 日常工作（Routine）：

1. 提供 IT 支援與疑難排解（PC、網路、作業系統、軟體）
2. 管理 IT 資產與設定（作業系統、應用程式、硬體）
3. 產品與系統運維（環境建置、部署、監控、告警排除）

※ 專案任務（Project-based）：

1. 建置與優化 CI/CD 流程（GitLab / Ansible / Gitlab Runner）
2. 監控系統與監控面板建置與維護（Prometheus / Grafana / ELK）
3. AWS雲端與容器化基礎設施維運（Docker / ECR / EC2 / ECS / VPC / ALB / Terraform）
4. 推動資訊安全管理架構與流程

※ 橫向合作：

1. 協助開發團隊進行系統部署與自動化建置
2. 與管理層溝通，撰寫 IT 作業與安全政策文件
3. 擔任團隊內部的 IT 支援角色，提升整體運營效率

<必要條件>

1. 2 年以上 IT 支援或系統管理相關經驗
2. 擅長至少一種程式語言（Python 佳）
3. 擅長流程化與 Gitflow 等自動化實作
4. 熟悉雲端平台架構並具備相關實務經驗
5. 熟悉網路連線與設備路由管理
6. 良好的團隊合作能力，能提供夥伴技術支持

<加分條件>

1. 有 Monitoring 維護管理相關經驗
2. 有 GitOps 與 Gitflow 相關經驗
3. 有 DevOps 相關經驗","網路管理工程師, 雲端工程師, 數據分析師／資料分析師",不需負擔管理責任,日班，需接受 On call 值班安排，具備於非上班時間處理緊急事件的能力與責任心，需輪班,未知,無需出差外派,不拘,--,不拘,無,2025-11-15,8flaz|2025-11-15
