iter	Passed	Remaining
0	32	9659
1	64	9558
2	96	9546
3	128	9484
4	161	9541
5	194	9544
6	226	9476
7	258	9449
8	290	9386
9	321	9331
10	353	9281
11	385	9253
12	418	9240
13	451	9215
14	483	9177
15	515	9142
16	548	9137
17	583	9142
18	616	9117
19	650	9107
20	685	9106
21	719	9097
22	756	9113
23	792	9112
24	828	9114
25	865	9125
26	912	9228
27	948	9210
28	982	9183
29	1016	9144
30	1048	9098
31	1084	9081
32	1116	9030
33	1147	8978
34	1180	8937
35	1211	8885
36	1243	8842
37	1277	8807
38	1308	8757
39	1339	8705
40	1370	8657
41	1402	8618
42	1435	8580
43	1468	8543
44	1502	8513
45	1534	8473
46	1566	8431
47	1598	8393
48	1630	8352
49	1662	8310
50	1693	8267
51	1725	8227
52	1757	8189
53	1790	8155
54	1822	8116
55	1853	8077
56	1885	8039
57	1916	7997
58	1947	7956
59	1979	7916
60	2010	7876
61	2041	7836
62	2072	7796
63	2104	7760
64	2135	7719
65	2167	7686
66	2200	7653
67	2232	7618
68	2264	7580
69	2295	7542
70	2327	7507
71	2358	7467
72	2391	7435
73	2424	7404
74	2457	7371
75	2490	7339
76	2521	7302
77	2552	7265
78	2585	7232
79	2617	7197
80	2649	7162
81	2681	7127
82	2713	7094
83	2746	7063
84	2778	7027
85	2809	6990
86	2841	6955
87	2873	6921
88	2905	6889
89	2937	6855
90	2971	6825
91	3006	6797
92	3042	6771
93	3076	6741
94	3112	6716
95	3148	6689
96	3182	6661
97	3218	6633
98	3254	6607
99	3289	6579
100	3324	6550
101	3360	6522
102	3395	6494
103	3428	6462
104	3462	6431
105	3496	6399
106	3528	6364
107	3559	6328
108	3592	6294
109	3622	6257
110	3655	6224
111	3686	6187
112	3717	6151
113	3749	6117
114	3780	6081
115	3811	6046
116	3842	6010
117	3874	5975
118	3905	5940
119	3936	5905
120	3968	5870
121	3999	5835
122	4032	5802
123	4063	5767
124	4096	5734
125	4128	5701
126	4159	5666
127	4190	5631
128	4221	5596
129	4254	5563
130	4284	5527
131	4314	5491
132	4346	5458
133	4379	5425
134	4412	5393
135	4445	5360
136	4478	5328
137	4495	5277
138	4527	5244
139	4559	5210
140	4594	5181
141	4627	5148
142	4659	5115
143	4691	5082
144	4723	5049
145	4757	5017
146	4788	4983
147	4822	4952
148	4853	4919
149	4888	4888
150	4920	4855
151	4953	4823
152	4987	4791
153	5018	4758
154	5050	4724
155	5082	4691
156	5114	4658
157	5146	4625
158	5178	4592
159	5212	4560
160	5244	4528
161	5277	4495
162	5309	4462
163	5344	4431
164	5376	4399
165	5409	4366
166	5443	4335
167	5477	4303
168	5510	4271
169	5543	4239
170	5578	4208
171	5613	4177
172	5647	4145
173	5680	4113
174	5715	4082
175	5751	4052
176	5786	4021
177	5821	3989
178	5856	3958
179	5889	3926
180	5922	3893
181	5956	3861
182	5991	3830
183	6023	3797
184	6058	3765
185	6089	3732
186	6121	3698
187	6152	3665
188	6183	3631
189	6215	3598
190	6249	3566
191	6280	3532
192	6312	3499
193	6343	3465
194	6375	3433
195	6409	3400
196	6441	3368
197	6476	3336
198	6508	3303
199	6540	3270
200	6572	3237
201	6604	3204
202	6637	3171
203	6668	3138
204	6700	3105
205	6734	3072
206	6767	3040
207	6799	3007
208	6832	2974
209	6865	2942
210	6897	2909
211	6931	2877
212	6967	2846
213	7000	2813
214	7033	2780
215	7068	2748
216	7100	2715
217	7134	2683
218	7168	2651
219	7201	2618
220	7240	2588
221	7279	2557
222	7323	2528
223	7366	2499
224	7408	2469
225	7444	2437
226	7480	2405
227	7515	2373
228	7549	2340
229	7586	2308
230	7620	2276
231	7654	2243
232	7691	2211
233	7730	2180
234	7765	2147
235	7799	2115
236	7833	2082
237	7868	2049
238	7903	2017
239	7941	1985
240	7980	1953
241	8016	1921
242	8054	1889
243	8091	1857
244	8128	1824
245	8164	1792
246	8199	1759
247	8234	1726
248	8268	1693
249	8303	1660
250	8339	1627
251	8372	1594
252	8406	1561
253	8439	1528
254	8474	1495
255	8507	1462
256	8538	1428
257	8570	1395
258	8605	1362
259	8636	1328
260	8668	1295
261	8700	1261
262	8739	1229
263	8774	1196
264	8808	1163
265	8843	1130
266	8876	1097
267	8911	1064
268	8947	1031
269	8985	998
270	9019	965
271	9058	932
272	9097	899
273	9135	866
274	9176	834
275	9217	801
276	9255	768
277	9292	735
278	9329	702
279	9362	668
280	9394	635
281	9429	601
282	9461	568
283	9493	534
284	9524	501
285	9555	467
286	9587	434
287	9618	400
288	9649	367
289	9681	333
290	9712	300
291	9745	266
292	9774	233
293	9806	200
294	9836	166
295	9869	133
296	9902	100
297	9936	66
298	9970	33
299	10000	0
