job_id,job_title,company,industry,location,experience,education,salary,tags,update_date,job_description,job_categories,management_responsibility,work_shift,remote_work,BT_EXP,languages,tools,work_skills,other_conditions,update_date_clean,unique_key
7bnu9,資深視覺工程師_竹北-台元科技園區(P20),均華精密工業股份有限公司,半導體製造業,新竹縣竹北市,10年以上,大學,待遇面議,"年終獎金, 節日獎金/禮品, 津貼/補助, 分紅配股, 家庭日",12/01,"1. 視覺檢測程式架構開發。 
2. 演算法開發。
3. 視覺硬體架構規劃。","光學工程師, 軟體工程師, 演算法工程師",不需負擔管理責任,日班,未知,需出差，一年累積時間約三個月以下,英文,"C#, Visual C++","軟體工程系統開發, 軟體程式設計, 光學系統研發設計","1. 擅長工具: C#, VC++, Visual Studio MFC
2. 熟視覺演算法開發
3.熟MIL函式庫, 或自行開發檢測/定位演算法",2025-12-01,7bnu9|2025-12-01
8kqkf,訊號處理演算法實習生,巨量移動科技股份有限公司,電腦軟體服務業,台北市內湖區,經歷不拘,大學,時薪200元以上,,12/01,"我們歡迎大學在校生或即將畢業的學生申請，並且不限於特定科系。
1. 負責生醫檔案解讀及資料收集分析 。
2. 開發雜訊處理演算法。
3. 演算法以及模型測試。
4. 跨部門的專案合作開發。
5. 演算法規劃與開發文件撰寫。 

對於人工智慧領域和數據處理的基本了解或激情是加分項目。

我們歡迎有上進心、願意挑戰自我，並持續追求個人和專業成長的個人申請。

關於我們的詳細職缺內容都可以在面試中確認
我們徵才職缺屬於常態性職缺，會一直開放申請，
只是104平台不一定會一直開啟， 由於有時候同時收到太多履歷 會整理好再開放


公司除了給實習生實習薪資外 另有實習獎學金，至少有人領取超過二萬元台幣。
***************************************************************************
如有興趣 若可以請準備個人履歷或相關作品說明                                                                               
線上筆試測驗表單 : 
https://forms.gle/DC2keERhbncpb7Ds5
Google Colab連結  (記得複製一份作答，檔案名稱設定為Technical interview (AI position) v2.0_XXX : 
https://colab.research.google.com/drive/1e0AfKRnrtFyrWmYJUhESrU6x9jExtdJx?usp=sharing

***************************************************************************","AI工程師, 演算法工程師, 資料工程師",不需負擔管理責任,日班，09:30~18: 30 ( 午休 12:00-13:00),未知,無需出差外派,不拘,"Excel, PowerPoint, 中文打字50~75",不拘,"1.有責任心、團隊精神、溝通、樂於自主學習
2.領域不拘，但對醫學應用有經驗或興趣

薪資範圍：
1.面議
2.如有其他實務經驗或能力證明，薪資幅度可談。
3.另設有專案獎金(專案完成後可以領取))",2025-12-01,8kqkf|2025-12-01
87vv2,"區塊鏈架構師 Blockchain Architect (數數發中心, DDT)_I00015119",國泰金控_國泰金融控股股份有限公司,金融控股業,台北市信義區,5年以上,學歷不拘,待遇面議,"上市上櫃, 年終獎金, 節日獎金/禮品, 津貼/補助, 分紅配股",12/01,"國泰自 2018 年成立區塊鏈團隊，從技術研究、底層開發、業務導入到跨鏈串接，一路走來持續推出實際可落地的區塊鏈產品及應用。看準 Web3 將為金融業帶來的全新商機，並於產險聯盟區塊鏈、銀行聯盟區塊鏈、電動車車聯網區塊鏈等三方面皆有相當程度的進展。
1. 規劃區塊鏈系統架構，導入到金融領域相關公司
2. 改善現有技術架構，且持續發堀及提出更佳之設計解決方案
3. 分析系統效能及資訊安全，維持團隊開發品質
4. 與內外部合作，建置跨部門/跨公司的區塊鏈去中心化系統

**請同步於 104 及以下職缺連結投遞履歷，可以讓我們在審閱履歷上會更快速喔！**
投遞連結：https://recruit.cathayholdings.com/CathaybkHR/servlet/HttpDispatcher/EZA0_0320/jobDetail?applFormNo=I00015119","軟體工程師, 演算法工程師, 其他資訊專業人員",不需負擔管理責任,日班,未知,無需出差外派,不拘,"PostgreSQL, Go, Node.js, Git, JavaScript, Linux","軟體工程系統開發, 系統整合分析, 軟體品質與保證, 系統架構規劃","1. 5 年以上軟體開發經驗
2. 1 年以上區塊鏈相關開發經驗
2. 熟悉Linux和至少一項技術領域，前或後端開發框架
3. 熟悉AWS/Azure/GCP三大公有雲服務之一
4. 具備資訊安全，網路通訊相關知識
5. 撰寫技術文件、簡報製作並具備清楚表達能力",2025-12-01,87vv2|2025-12-01
8v3wz,【AI Server】系統設計工程師,鴻海精密工業股份有限公司,消費性電子產品製造業,新北市土城區,3年以上,大學,待遇面議,"上市上櫃, 年終獎金, 節日獎金/禮品, 津貼/補助, 交通補助",12/01,"1.白牌/ODM Server L10及L11 cable design and routing
2.量產前解決試產過程的製造問題
3.內部單位及客戶溝通與問題解決
4.L10/L11 BOM 建立",機械工程師,不需負擔管理責任,日班,未知,需出差，一年累積時間未定,英文,--,不拘,"1. 教育背景: 機械 or 電機領域;機電整合領域尤佳，學歷學士以上(碩士佳)
2. 專業能力:
a. Server或Workstation機箱及MB placement 3~5年經驗
b. 高速,高功率線設計相關3~5年經驗
c. 具 Creo, AutoCAD操作能力
d. 有server/workstation實際專案開發經驗尤佳",2025-12-01,8v3wz|2025-12-01
8s0eh,IPAS AI應用規畫師(初級+中級)講師-基隆、大台北地區,聯成電腦股份有限公司(聯成電腦/聯成外語),補習班,台北市中正區,5年以上,專科,"時薪600~1,200元","遠端工作, 距捷運台北車站約270公尺, 年終獎金, 節日獎金/禮品, 津貼/補助",12/01,"【業界經驗】業界五年以上相關經驗﹅能夠獨立開發專案﹅專案經驗分享。
【授課經驗】具備一年以上教學經驗尤佳，若無則需準備教材試教以確認教學能力。
【證照需求】IPAS AI應用規畫師(初級+中級)。","講師, AI工程師, 電腦補習班老師",不需負擔管理責任,日班/晚班/假日班，依課程時段,部分遠端，線上&實體教學,無需出差外派,不拘,--,"AI, 機器學習, 生成式AI, 深度學習","熟悉AI 技術概述與應用領域
掌握需求導向的技術選擇與應用開發
熟悉AI 導入與資源配置策略
分析握AI 模型開發與優化
熟悉數據分析基礎
分析大數據處理與視覺化
規劃大數據在 AI 模型中的應用
熟機器學習基礎數學知識
規劃機器學習模型開發與調校
分析機器學習與深度學習技術差異

※通過IPAS AI應用規畫師(初級+中級)尤佳",2025-12-01,8s0eh|2025-12-01
8p18b,AI 雲系統SRE工程師/高級工程師(內湖),御麗達股份有限公司,電腦軟體服務業,台北市內湖區,經歷不拘,大學,"月薪38,000~65,000元","距捷運西湖站約140公尺, 年終獎金, 節日獎金/禮品, 津貼/補助, 彈性上下班",12/01,"1. 負責AI GPU叢集系統(openstack/K8S)的設計、部署、調校、訓練與效能優化，確保模型達成預期效能與應用目標。
2. 協助內部團隊與外部客戶完成算力系統與AI框架之介接。
3. 深入了解客戶業務需求，提供具前瞻性的顧問建議與解決方案。
4. 支援業務團隊，提供專業的技術諮詢與展示協助。
5. 撰寫並維護系統相關之技術文件與操作說明。
6. 執行主管指派之專案與其他交辦事項。

※工作待遇以實際面談後依學經歷、工作年資 核定敘薪。",雲端工程師,不需負擔管理責任,日班,未知,無需出差外派,英文,"Linux, SNMP","伺服器網站管理維護, 網路資料傳輸","1. 具openstack或K8S使用經驗者優先考慮。
2. 需配合專案需求加班 (偶爾)。",2025-12-01,8p18b|2025-12-01
8rezy,【台北】GPU 算力資源管理平台高級工程師 / 雲基礎設施開發工程師,雲智匯科技服務股份有限公司,其他電子零組件相關業,台北市內湖區,5年以上,大學,待遇面議,"距捷運西湖站約410公尺, 年終獎金, 節日獎金/禮品, 津貼/補助, 優於勞基法特休",12/01,"1. 設計開發 GPU 資源虛擬化與管理平台，實現多租戶 GPU 算力切割（如 vGPU/MIG 技術）、動態分配與回收。  
2. 構建 精細化算力計量系統，支持按 CUDA Core/hour、顯存使用量、GPU 利用率等維度實時計費。  
3. 實現 自動化部署與調度系統，集成 Kubernetes（K8s）或 Slurm 等編排工具管理 GPU 集群。  
4. 開發 計費與賬單系統，對接支付網關，生成租戶用量報表與財務數據。  
5. 優化 GPU 資源隔離性與安全性，確保多租戶環境下的數據與算力隔離。","AI工程師, 演算法工程師, 系統工程師",不需負擔管理責任,日班,未知,無需出差外派,英文,--,不拘,"1.能獨立設計高併發分布式系統架構，解決資源爭用問題。  
2.具備技術文檔撰寫能力（API 設計、系統白皮書）。  
3.良好的跨團隊協作能力（需與運維、財務、客戶成功團隊對接）。",2025-12-01,8rezy|2025-12-01
8s3e4,IPAS AI應用規畫師(初級)講師-高雄認證中心,聯成電腦股份有限公司(聯成電腦/聯成外語),補習班,高雄市新興區,5年以上,專科,"時薪500~1,000元","遠端工作, 距捷運美麗島站約390公尺, 年終獎金, 節日獎金/禮品, 津貼/補助",12/01,"【業界經驗】業界五年以上相關經驗﹅能夠獨立開發專案﹅專案經驗分享。
【授課經驗】具備一年以上教學經驗尤佳，若無則需準備教材試教以確認教學能力。
【證照需求】IPAS AI應用規畫師(初級)。","講師, AI工程師, 電腦補習班老師",不需負擔管理責任,日班/晚班/假日班，依課程時段,部分遠端，線上教學,無需出差外派,不拘,--,"AI, 機器學習, 生成式AI, 深度學習","理解人工智慧概念與應用
掌握資料處理基礎能力知識
理解機器學習基本知識
理解生成式與鑑別式 AI
理解No Code / Low Code 工具應用
熟悉生成式 AI 工具操作
規劃生成式 AI 導入

※通過IPAS AI應用規畫師(初級)尤佳",2025-12-01,8s3e4|2025-12-01
8i9lc,"系統分析師 System Analyst - 數據科技 (數數發中心, DDT)_I00018291",國泰金控_國泰金融控股股份有限公司,金融控股業,台北市信義區,3年以上,學歷不拘,待遇面議,"上市上櫃, 年終獎金, 節日獎金/禮品, 津貼/補助, 分紅配股",12/01,"[主要任務]
1. 需求訪談與規劃分析： 進行使用者需求訪談，彙整需求並進行系統規劃與分析，確保準確理解業務目標。
2. 系統流程與功能設計： 制定系統流程與功能設計，將需求轉化為具體的系統規格文件，支援技術團隊的開發工作。
3. 頁面流程與Wireframe規劃： 參與頁面流程設計，規劃wireframe，確保用戶體驗和系統功能達成一致。
4. 測試案例設計與驗證： 設計測試案例，驗證系統功能是否符合需求，協助程式碼掃描、弱掃與壓力測試，確保系統通過各項測試。
5. 跨部門協作： 與前端、後端及數據工程師合作，明確需求與規格，並持續跟進系統開發進度。
6. 系統改進與升級： 參與系統的持續優化與升級，提出改進建議並推動實施。","軟體工程師, 其他資訊專業人員",不需負擔管理責任,日班,未知,無需出差外派,不拘,--,"專案規劃執行╱範圍管理, 專案人力資源管理, 部門人力成本控制, 專案管理架構及專案說明, 專案時間╱進度控管, 專案溝通╱整合管理, 預算編製與成本控管, 專案成本╱品質╱風險管理, 規劃、組織、指導及協調組織內部行政作業, 專案採購管理, 工作任務╱業績項目分配, 督導人員工作績效, 業績目標達成, 培育人員職涯發展, 危機與議題管理, 部門績效目標管理, 協商談判能力","[必要條件]
1. 雲端專案經驗： 具備雲端技術與數位平台的開發經驗，熟悉相關架構與作業方式。
2. 數據流程與資料庫知識： 深入理解數據流程及資料庫運作原理，能夠支援數據驅動的系統設計。
3. 前後端開發經驗： 熟悉前端和後端開發技術，具備程式開發的基礎經驗，能夠更好地理解系統需求與實現。
[加分條件]
1. Hadoop環境經驗： 熟悉Hadoop環境的運作模式及技術，如Hive與HDFS。
2. Databricks平台經驗： 具備Databricks平台架構的實務經驗。
3. 雲端服務操作經驗： 具備AWS或GCP等雲端平台操作經驗，熟悉雲端部署及系統串接。",2025-12-01,8i9lc|2025-12-01
8vm55,"AICore Triage Engineer __ Google project, XinDian",HCL Technologies Taiwan_台灣愛渠西來技術股份有限公司,電腦軟體服務業,新北市新店區,5年以上,大學,"年薪700,000元以上","外商公司, 年終獎金, 津貼/補助, 健康檢查",12/01,"Quality Assurance & Testing
Provide manual and automated testing for in-market and ongoing new releases of Android products, applications, and services, including pre-release hardware and software from Google, as well as from other device manufacturers
Create test plans and execute tests for new and existing features and functionality (includes creating test plans, writing and executing test cases, production readiness certification for new features, and test status reports for new features)
Provide detailed manual and automated test results and verification of test results to Google FTEs
Provide detailed reports to Google FTEs on bugs discovered and the results of any patches against those bugs
Ensure functional test coverage
Ensure non-functional test coverage, including validation that on-device resource utilization (memory, CPU, battery) is within pre-agreed/documented acceptable bounds
Add/update/remove/maintain regression test cases
Add new feature test cases to the regression test suite including experiments.
Update test cases regularly and continually maintain the test suite
Provide maintenance of test cases/scripts and documentation
Build & Test Management
Monitor manual and automated build and test execution, including follow-through to triage issues, escalating to Google FTEs when needed
Perform and monitor manual and automated releases of Android products, applications, and services
Perform and monitor manual and automated releases of data, models, and associated configurations for Android products, applications, and services
Review proposed updates to test code and configuration
Update test code and configuration to cater for new/updated scenarios and patterns
Issue Triage & Escalation
Perform first-stage triage for incoming issues.
Incorporate Google FTE feedback into reviewing and triaging bugs.
Provide daily updates on next steps on bugs, and clear recommendations to Google FTEs for actioning.
Log, track, and verify defects associated with each release.
Triage all bugs related to each release on a daily basis.
Verify all bugs as part of each release.
Escalate to Google FTEs if build errors are unresolvable.
Escalate to Google FTEs if test harnesses are unable to complete.
Escalate to Google FTEs when issues are too complex or unsolvable, within 2 hours.
Model Quality Analysis 
Receive new model/data files, and release to internal teams for experimental, evaluatory, and development use
Perform basic / soundness checks on models, features, and any other data in AICore pipelines (e.g., perplexity task)
Execute and generate reports for academic & performance benchmarks (e.g., XSum, coco_text)
Monitor automated on-device tests and triage/escalate unexpected results (e.g. actual output differing from expected output)
Develop reports outlining performance per guidelines provided by the AICore team
Resource & Test Suite Management
Perform updates/maintenance of test devices, including reinstalling devices in test labs
Provide regular summary reporting of test results by device to help evaluate health","軟韌體測試工程師, AI工程師, 機器學習工程師",不需負擔管理責任,日班,未知,無需出差外派,英文,--,不拘,無,2025-12-01,8vm55|2025-12-01
