job_title,job_id,company,industry,location,experience,education,salary,salary_min,salary_max,salary_avg,salary_note,tags,update_date,source_url
IT 資訊技術工程師 / 系統工程師,8flaz,聚贏有限公司,網際網路相關業,台北市中正區,經歷不拘,大學,"月薪36,000~70,000元",36000.0,70000.0,53000.0,,"距捷運大安森林公園站約360公尺, 年終獎金, 節日獎金/禮品, 津貼/補助, 分紅配股",10/19,https://www.104.com.tw/jobs/search?jobcat=2007001022&mode=s&page=1
資深 LLM/AI工程師,8sz8e,天賦人工智慧股份有限公司,電腦軟體服務業,台北市信義區,經歷不拘,學歷不拘,"月薪75,000~120,000元",75000.0,120000.0,97500.0,,"遠端工作, 距捷運永春站約280公尺, 年終獎金, 津貼/補助, 分紅配股",10/19,https://www.104.com.tw/jobs/search?jobcat=2007001022&mode=s&page=1
AI/ML 工程師,8l3is,智訓科技股份有限公司,電腦軟體服務業,台北市大安區,3年以上,專科,待遇面議,,,,無薪資資訊,"遠端工作, 距捷運六張犁站約460公尺, 免費下午茶",10/19,https://www.104.com.tw/jobs/search?jobcat=2007001022&mode=s&page=1
資料庫維護軟體開發(實習),6v4vg,綠光能數位有限公司,電腦系統整合服務業,台北市中山區,經歷不拘,高中,"月薪28,590元",28590.0,,28590.0,最低保證薪資,"距捷運南京復興站約500公尺, 年終獎金, 節日獎金/禮品, 津貼/補助, 交通補助",10/19,https://www.104.com.tw/jobs/search?jobcat=2007001022&mode=s&page=1
AI研發工程師,8q5o0,樂倍達數位科技股份有限公司,電腦軟體服務業,台北市中山區,1年以上,大學,待遇面議,,,,無薪資資訊,"距捷運民權西路站約470公尺, 年終獎金, 分紅配股, 免費下午茶, 部門聚餐",10/19,https://www.104.com.tw/jobs/search?jobcat=2007001022&mode=s&page=1
資訊工程師,8u4ae,旭然國際股份有限公司,其他相關製造業,雲林縣斗六市,1年以上,大學,"月薪32,000~40,000元",32000.0,40000.0,36000.0,,"上市上櫃, 年終獎金, 節日獎金/禮品, 津貼/補助, 分紅配股",10/19,https://www.104.com.tw/jobs/search?jobcat=2007001022&mode=s&page=1
數據工程師,89w9x,旭捷資訊有限公司,電腦軟體服務業,台北市中山區,經歷不拘,大學,待遇面議,,,,無薪資資訊,"距捷運行天宮站約360公尺, 年終獎金, 節日獎金/禮品, 津貼/補助, 優於勞基法特休",10/19,https://www.104.com.tw/jobs/search?jobcat=2007001022&mode=s&page=1
PHP工程師,68fa6,鴻翔國際電通股份有限公司,電子通訊／電腦週邊批發業,新北市新店區,2年以上,大學,待遇面議,,,,無薪資資訊,"距捷運大坪林站約140公尺, 年終獎金, 節日獎金/禮品, 津貼/補助, 彈性上下班",10/19,https://www.104.com.tw/jobs/search?jobcat=2007001022&mode=s&page=1
歡迎應屆畢業生 / 屆退社會新鮮人！<外商軟體及消費性電子產品公司> 資料中心助理工程師 Data Center Technician - 桃園市<派遣職>105IW,8sgpx,萬寶華企業管理顧問股份有限公司,人力仲介代徵,桃園市桃園區,經歷不拘,大學,待遇面議,,,,無薪資資訊,N/A,10/19,https://www.104.com.tw/jobs/search?jobcat=2007001022&mode=s&page=1
應用系統開發工程師,7bsis,中國信託資融股份有限公司,其他金融及輔助業,台北市中正區,4年以上,專科,待遇面議,,,,無薪資資訊,"年終獎金, 節日獎金/禮品, 津貼/補助, 子女教育獎助學金, 員工旅遊",10/19,https://www.104.com.tw/jobs/search?jobcat=2007001022&mode=s&page=1
【沃盛集團】資訊 工程師/主任,8l4no,沃盛資本股份有限公司,不動產經營業,台北市中正區,5年以上,專科,待遇面議,,,,無薪資資訊,"距捷運台北車站約270公尺, 免費下午茶",10/19,https://www.104.com.tw/jobs/search?jobcat=2007001022&mode=s&page=1
軟體工程師-S101,8i42d,精誠金融科技股份有限公司,電腦系統整合服務業,台北市信義區,2年以上,大學,"月薪36,000~50,000元",36000.0,50000.0,43000.0,,"距捷運松山站約160公尺, 年終獎金, 節日獎金/禮品, 津貼/補助, 分紅配股",10/19,https://www.104.com.tw/jobs/search?jobcat=2007001022&mode=s&page=1
oracle資料庫管理工程師,8r6dv,龍生工業股份有限公司,電腦及其週邊設備製造業,新北市樹林區,3年以上,專科,"月薪50,000~65,000元",50000.0,65000.0,57500.0,,"年終獎金, 節日獎金/禮品, 津貼/補助, 分紅配股, 員工旅遊",10/19,https://www.104.com.tw/jobs/search?jobcat=2007001022&mode=s&page=1
學習型 人工智慧物聯網 AIoT 實習生,8nxyk,邑方醫療器材企業社,其他醫療保健服務業,台中市東區,經歷不拘,專科,N/A,,,,無法解析薪資格式,"年終獎金, 節日獎金/禮品, 津貼/補助, 新人假, 停車位",10/19,https://www.104.com.tw/jobs/search?jobcat=2007001022&mode=s&page=1
軟體工程師,8ulc6,一元素科技股份有限公司,其他電子零組件相關業,台北市內湖區,1年以上,大學,待遇面議,,,,無薪資資訊,"年終獎金, 節日獎金/禮品, 津貼/補助, 分紅配股, 員工旅遊",10/19,https://www.104.com.tw/jobs/search?jobcat=2007001022&mode=s&page=1
T－雲端維護工程師（7x24）（台北）,8tt4e,緯創軟體股份有限公司,電腦軟體服務業,台北市中山區,1年以上,大學,待遇面議,,,,無薪資資訊,"年終獎金, 節日獎金/禮品, 津貼/補助, 彈性上下班, 停車位",10/18,https://www.104.com.tw/jobs/search?jobcat=2007001022&mode=s&page=1
T－Helpdesk 工程師（台北）,8riw0,緯創軟體股份有限公司,電腦軟體服務業,台北市大安區,2年以上,大學,"月薪35,000~42,000元",35000.0,42000.0,38500.0,,"年終獎金, 節日獎金/禮品, 津貼/補助, 彈性上下班, 停車位",10/18,https://www.104.com.tw/jobs/search?jobcat=2007001022&mode=s&page=1
數據整合與智能流程開發工程師（Data Integration & Intelligent Process Engineer）,8pat6,三左興業股份有限公司,電力機械器材製造修配業,高雄市苓雅區,1年以上,專科,"月薪45,000~80,000元",45000.0,80000.0,62500.0,,"距捷運信義國小站約310公尺, 年終獎金, 節日獎金/禮品, 津貼/補助, 分紅配股",10/18,https://www.104.com.tw/jobs/search?jobcat=2007001022&mode=s&page=1
資料工程師 Data Engineer,8ucpg,風不大發展有限公司,工商顧問服務業,台北市大同區,經歷不拘,學歷不拘,"月薪45,000~100,000元",45000.0,100000.0,72500.0,,"遠端工作, 距捷運中山站約290公尺, 年終獎金, 分紅配股, 彈性上下班",10/18,https://www.104.com.tw/jobs/search?jobcat=2007001022&mode=s&page=1
T－機房／系統維運人員（台北）,8rluk,緯創軟體股份有限公司,電腦軟體服務業,台北市北投區,1年以上,高中,"月薪30,000~40,000元",30000.0,40000.0,35000.0,,"年終獎金, 節日獎金/禮品, 津貼/補助, 彈性上下班, 停車位",10/18,https://www.104.com.tw/jobs/search?jobcat=2007001022&mode=s&page=1
機器學習工程師,8bjkr,瑞艾科技有限公司,數位內容產業,台中市西區,經歷不拘,學歷不拘,"月薪30,000~50,000元",30000.0,50000.0,40000.0,,"年終獎金, 節日獎金/禮品, 免費下午茶",10/18,https://www.104.com.tw/jobs/search?jobcat=2007001022&mode=s&page=1
A－（半導體業）IT System Analyst IT系統分析師（新竹）,8jowv,緯創軟體股份有限公司,電腦軟體服務業,新竹市,2年以上,專科,待遇面議,,,,無薪資資訊,"年終獎金, 節日獎金/禮品, 津貼/補助, 彈性上下班, 停車位",10/18,https://www.104.com.tw/jobs/search?jobcat=2007001022&mode=s&page=1
AI工程師、深度學習工程師、人工智慧研究員（AI Engineer）,7mvok,玩構網路科技有限公司,其它軟體及網路相關業,高雄市楠梓區,經歷不拘,碩士,"月薪50,000~75,000元",50000.0,75000.0,62500.0,,"年終獎金, 分紅配股, 免費下午茶, 部門聚餐",10/18,https://www.104.com.tw/jobs/search?jobcat=2007001022&mode=s&page=1
零碳數據分析經理,7moj6,今時科技股份有限公司,網際網路相關業,台北市南港區,2年以上,大學,"年薪500,000~1,500,000元",41666.0,125000.0,83333.0,年薪轉換為月薪,"距捷運南港軟體園區站約280公尺, 年終獎金, 節日獎金/禮品, 津貼/補助, 分紅配股",10/18,https://www.104.com.tw/jobs/search?jobcat=2007001022&mode=s&page=1
